vim#setmatches()	恢复由getmatches()保存的匹配列表
vim#spellbadword()	定义当前光标处或其后的拼写有误的字词
vim#spellsuggest()	返回建议的改正词条
vim#soundfold()	返回读音近似的词
vim#histadd()	向历史列表中加入条目
vim#histdel()	从历史列表中删除条目
vim#histget()	从历史列表中得到一个条目
vim#histnr()	得到历史列表中记录个数
vim#browse()	打开一个文件选择对话框
vim#browsedir()	打开一个目录选择对话框
vim#confirm()	让用户确认一组选择
vim#getchar()	让用户输入一个字符
vim#getcharmod()	得到最后一次输入字符时的修饰键
vim#input()	从用户那要一行内容
vim#inputlist()	让用户从一个列表中选取其中一项
vim#inputsecret()	同上,但不回显输入的内容
vim#inputdialog()	让用户在一个对话框里输入
vim#inputsave()	保存并清空预输入的内容
vim#inputrestore()	恢复由inputsave()保存下的预输入内容
vim#serverlist()	返回服务器名字列表
vim#remote_send()	向指定服务器发送命令字符
vim#remote_expr()	在服务器求值一个表达式
vim#server2client()	向客户端发送一个回应
vim#remote_peek()	检查是否收到来自服务器的回应
vim#remote_read()	从服务器读取回应信息
vim#foreground()	将Vim窗口移到前台
vim#remote_foreground()	将Vim 服务器窗口移至前台
vim#winheight()	返回指定窗口的高度,单位为字符
vim#winwidth()	返回指定窗口的宽度,单位为字符
vim#mode()	返回当前的编辑模式
vim#visualmode()	返回最近一次使用的Visual子模式
vim#hasmapto()	检查是否有一个键被定义为指定的内容
vim#mapcheck()	检查一个映射是否存在
vim#maparg()	返回一个映射的右部,即它所被映射的内容
vim#exists()	检查一个变量或函数等是否被定义
vim#has()	检查当前的 Vim 是否支持某个特性
vim#cscope_connection()	检查是否存在某个cscope连接
vim#changenr()	得到最近一次修改的编号
vim#did_filetype()	检查是否一个设置文件类型的自动命令已被执行过
vim#eventhandler()	检查当前脚本是否因事件触发而被调用
vim#libcall()	调用外部共享库中的一个函数
vim#libcallnr()	同上,但用于返回int的函数
vim#getreg()	返回寄存器的内容
vim#getregtype()	返回寄存器中所保存的文本的类型
vim#setreg()	设置一个寄存器的内容和内容的类型
vim#taglist()	返回匹配的tags 列表
vim#tagfiles()	返回tags文件列表
vim#mzeval()	求值MzScheme的表达式
vim#variable#b:name	variable local to a buffer
vim#variable#w:name	variable local to a window
vim#variabl#eg:name	global variable (also in a function)
vim#variable#v:name	variable predefined by Vim
